0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.832392,1.1046234,0.0,4.308983,4.44711,0.0,0.0,3.209009,1.0928109,0.0,0.0,1.9192044,0.28808603,0.0,0.0,1.1574899
0.83097655,1.100462,0.0,4.3126574,4.4483786,0.0,0.0,3.2148397,1.091819,0.0,0.0,1.9182192,0.28756636,0.0,0.0,1.1544486
0.8295617,1.0963012,0.0,4.316331,4.449645,0.0,0.0,3.2206688,1.0908281,0.0,0.0,1.9172336,0.2870469,0.0,0.0,1.151407
0.83639383,1.0451018,0.0,4.341841,4.44742,0.0,0.0,3.1874528,1.0551403,0.0,0.0,1.8703892,0.27403545,0.0,0.0,1.146563
0.81068003,1.047229,0.0,4.29316,4.3938384,0.0,0.0,3.138097,1.0443689,0.0,0.0,1.8235892,0.28380734,0.0,0.0,1.1200438
0.79506505,1.0782156,0.0,4.265018,4.3770204,0.0,0.0,3.1492345,1.0668912,0.0,0.0,1.8385019,0.2951553,0.0,0.0,1.1108935
0.74635494,1.0230328,0.0,4.2611456,4.3128977,0.0,0.0,3.1283457,1.0478665,0.0,0.0,1.7530373,0.28636777,0.0,0.0,1.0482852
0.7596308,1.0366662,0.0,4.2721004,4.331966,0.0,0.0,3.130519,1.0577171,0.0,0.0,1.7750425,0.27924398,0.0,0.0,1.0704553
0.7726461,1.0502647,0.0,4.283274,4.3507705,0.0,0.0,3.1325407,1.0680766,0.0,0.0,1.7967213,0.27252048,0.0,0.0,1.0922469
0.78566104,1.0638635,0.0,4.294448,4.369576,0.0,0.0,3.1345623,1.0784366,0.0,0.0,1.8183999,0.26579803,0.0,0.0,1.1140387
0.7965322,1.0729803,0.0,4.304675,4.390492,0.0,0.0,3.1632326,1.0891464,0.0,0.0,1.8499471,0.27284828,0.0,0.0,1.1231644
0.7942943,1.115792,0.0,4.301602,4.3992915,0.0,0.0,3.1801584,1.1262641,0.0,0.0,1.8876972,0.26569656,0.0,0.0,1.1417003
0.8013762,1.1308346,0.0,4.30978,4.4191613,0.0,0.0,3.1976743,1.1373043,0.0,0.0,1.9118389,0.26174155,0.0,0.0,1.156691
0.79942936,1.1254528,0.0,4.3076544,4.4144936,0.0,0.0,3.1931741,1.1324077,0.0,0.0,1.9041636,0.26301885,0.0,0.0,1.1521391
0.79748183,1.1200707,0.0,4.305529,4.409826,0.0,0.0,3.1886733,1.127512,0.0,0.0,1.8964869,0.2642957,0.0,0.0,1.147588
0.7955376,1.1147059,0.0,4.3033953,4.405142,0.0,0.0,3.1841662,1.1227448,0.0,0.0,1.888851,0.26550567,0.0,0.0,1.1430589
